1994-01-01 | Size of misc in tokens: 1321905
       130 | Zweites Gesetz zur Änderung des Heimgesetzes
       130 | Gesetz über Zahlungsverbindlichkeiten gegenüber dem Ausland
       130 | Gesetz zu dem Allgemeinen Abkommen vom 7. Dezember 1957 zwischen der Bundesrepublik Deutschland und dem Königreich Belgien über Soziale Sicherheit nebst Schlußprotokoll, der Ersten, Zweiten und Dritten Zusatzvereinbarung und dem Zusatzprotokoll zu dem Abkommen
       127 | Gesetz über die Stellung des Landes Berlin im Finanzsystem des Bundes
       126 | Gesetz zur Behandlung von Gebührenbescheiden der Behörden der Deutschen Demokratischen Republik für die Genehmigung der Verbringung von Kraftfahrzeugen und anderen Waren im grenzüberschreitenden Reiseverkehr
       126 | Gesetz zu dem Übereinkommen vom 3. März 1973 über den internationalen Handel mit gefährdeten Arten freilebender Tiere und Pflanzen
       124 | Gesetz zu dem Übereinkommen vom 21. Februar 1971 über psychotrope Stoffe
       124 | Gesetz zur Änderung der Bundesrechtsanwaltsordnung, der Patentanwaltsordnung und anderer Gesetze
       124 | Gesetz zur Gleichstellung stillgelegter und landwirtschaftlich genutzter Flächen
       124 | Gesetz zu dem Vertrag vom 17. Februar 1966 zwischen der Bundesrepublik Deutschland und der Republik Österreich über den Durchgangsverkehr auf den Straßen an der Walchen Ache und am Pittenbach sowie zum Bächen- und Rißtal im deutschen und österreichischen Grenzgebiet
       124 | Gesetz über die Berechnung strafrechtlicher Verjährungsfristen
       123 | Gesetz zu dem Vertragswerk vom 17. Dezember 1994 über die Energiecharta
       123 | Gesetz zu dem Abkommen vom 29. Juli 1992 zwischen der Bundesrepublik Deutschland und der Republik Polen über Erleichterungen der Grenzabfertigung
       123 | Erstes Gesetz zur Neuordnung von Selbstverwaltung und Eigenverantwortung in der gesetzlichen Krankenversicherung
       123 | Gesetz zu dem Übereinkommen vom 8. September 1976 über die Ausstellung mehrsprachiger Auszüge aus Personenstandsbüchern
       123 | Gesetz zur Neuordnung des Eheschließungsrechts
       123 | Gesetz über die Verwaltung der Mittel der Träger der Krankenversicherung
       123 | Regelbetrag-Verordnung
       122 | Gesetz zur Aufhebung des Aufnahmegesetzes
       122 | Fünftes Gesetz zur Änderung der Bundesgebührenordnung für Rechtsanwälte
       122 | Gesetz zu dem Internationalen Fernmeldevertrag vom 25. Oktober 1973
       121 | Gesetz zur Änderung des Genossenschaftsgesetzes
       121 | Gesetz zu dem Europäischen Übereinkommen vom 28. Juni 1978 über die Kontrolle des Erwerbs und Besitzes von Schußwaffen durch Einzelpersonen
       121 | Gesetz zu dem Übereinkommen vom 5. September 1980 über die Ausstellung von Ehefähigkeitszeugnissen
       121 | Gesetz zu dem Internationalen Übereinkommen vom 2. Dezember 1946 zur Regelung des Walfangs
       119 | Gesetz zu dem Übereinkommen vom 29. Juni 1994 über die Zusammenarbeit zum Schutz und zur verträglichen Nutzung der Donau (Donauschutzübereinkommen)
       119 | Drittes Gesetz über die Übernahme von Sicherheitsleistungen und Gewährleistungen zur Förderung der deutschen Wirtschaft
       119 | Viertes Gesetz zur Änderung des Zollgesetzes
       119 | Gesetz zum Umweltschutzprotokoll vom 4. Oktober 1991 zum Antarktis-Vertrag
       119 | Gesetz zu dem Abkommen vom 27. Februar 1976 zwischen der Bundesrepublik Deutschland und dem Königreich Schweden über Soziale Sicherheit
       119 | Gesetz betreffend Phosphorzündwaren
       118 | Gesetz zu dem Übereinkommen vom 17. März 1992 zum Schutz und zur Nutzung grenzüberschreitender Wasserläufe und internationaler Seen
       118 | Gesetz zur Änderung von örtlichen Zuständigkeiten der Landesversicherungsanstalten in Niedersachsen und zur Änderung des Bundesversorgungsgesetzes
       117 | Gesetz zu dem Abkommen vom 16. Dezember 1992 zwischen der Regierung der Bundesrepublik Deutschland und der Regierung der Russischen Föderation über Kriegsgräberfürsorge
       117 | Gesetz zur Durchführung von Richtlinien der Europäischen Wirtschaftsgemeinschaft über die Niederlassungsfreiheit und den freien Dienstleistungsverkehr
       116 | Erstes Gesetz zur Änderung mietrechtlicher Vorschriften
       116 | Gesetz über befristete Arbeitsverträge mit wissenschaftlichem Personal an Forschungseinrichtungen (Artikel 2 des Gesetzes über befristete Arbeitsverträge mit wissenschaftlichem Personal an Hochschulen und Forschungseinrichtungen)
       116 | Gesetz zur beschleunigten Abwicklung einiger Altforderungen
       116 | Gesetz zur Änderung des Beschußgesetzes
       116 | Gesetz über die Freigabe der stillgelegten Mittel aus dem Zuschlag zur Einkommensteuer und zur Körperschaftsteuer sowie über die Aufhebung der Stillegungspflicht für künftig aufkommende Beträge
       115 | Gesetz zur Änderung des Wohnungseigentumsgesetzes und der Verordnung über das Erbbaurecht
       112 | Gesetz zu dem Abkommen vom 26. Januar 1960 über die Internationale Entwicklungsorganisation
       112 | Gesetz zur Änderung von Bezeichnungen der Richter und ehrenamtlichen Richter
       112 | Gesetz zu den Übereinkommen vom 15. Februar 1972 und 29. Dezember 1972 zur Verhütung der Meeresverschmutzung durch das Einbringen von Abfällen durch Schiffe und Luftfahrzeuge
       112 | Gesetz zur Änderung des Ersten Wohnungsbaugesetzes und des Zweiten Wohnungsbaugesetzes
       111 | Gesetz betreffend die Bestrafung des Sklavenraubes und des Sklavenhandels
       111 | Gesetz zu dem Zusatzabkommen vom 2. November 1984 zum Abkommen vom 30. April 1964 zwischen der Bundesrepublik Deutschland und der Republik Türkei über Soziale Sicherheit und zu der Vereinbarung vom 2. November 1984 zur Durchführung des Abkommens
       111 | Gesetz zur Sammlung von Nachrichten über Kriegsgefangene, festgehaltene oder verschleppte Zivilpersonen und Vermißte
       111 | Gesetz über die nachträgliche Umstellung von Kontoguthaben, über die Tilgung von Anteilrechten an der Altguthaben-Ablösungs-Anleihe, zur Änderung lastenausgleichsrechtlicher Bestimmungen und zur Ergänzung des Gesetzes über die Errichtung der "Staatlichen Versicherung der DDR in Abwicklung"
       110 | Gesetz zu dem Übereinkommen vom 19. Mai 1956 über den Beförderungsvertrag im internationalen Straßengüterverkehr (CMR)
       110 | Einführungsgesetz zum Wechselgesetz
       110 | Gesetz zur Regelung der Altschulden für gesellschaftliche Einrichtungen, zur Änderung des Erblastentilgungsfonds-Gesetzes und zur Änderung des Investitionsförderungsgesetzes Aufbau Ost
       110 | Gesetz zur Änderung des Betreuungsrechts sowie weiterer Vorschriften
       110 | Gesetz zur Aufhebung des Strukturhilfegesetzes und zur Aufstockung des Fonds "Deutsche Einheit"
       110 | Gesetz zu dem Straßburger Übereinkommen vom 4. November 1988 über die Beschränkung der Haftung in der Binnenschiffahrt (CLNI)
       110 | Gesetz zu dem Europäischen Übereinkommen vom 24. November 1983 über die Entschädigung für Opfer von Gewalttaten
       109 | Fünftes Gesetz zur Änderung des Sozialgerichtsgesetzes
       109 | Gesetz zur Änderung der Bundeszuschüsse zu den Rentenversicherungen der Arbeiter und der Angestellten aus Anlaß der wirtschaftlichen Eingliederung des Saarlandes in die Bundesrepublik sowie zur Einführung der Vorschriften über die Gemeinlast und weiterer sozialversicherungsrechtlicher Vorschriften im Saarland
       109 | Gesetz zur Stärkung der Finanzgrundlagen der gesetzlichen Rentenversicherung
       108 | Gesetz zu dem Abkommen vom 4. August 1962 zwischen der Bundesrepublik Deutschland und der Republik Kolumbien über deutsche Vermögenswerte in Kolumbien
       108 | Viertes Gesetz zur Änderung des Soldatengesetzes
       107 | Gesetz betreffend das Zusatzprotokoll vom 6. September 1989 zu dem Übereinkommen vom 4. September 1958 über den internationalen Austausch von Auskünften in Personenstandsangelegenheiten
       107 | Gesetz zu dem Vertrag vom 17. Februar 1966 zwischen der Bundesrepublik Deutschland und der Republik Österreich über den Durchgangsverkehr auf der Roßfeldstraße
       107 | Zehntes Gesetz zur Änderung des Luftverkehrsgesetzes
       107 | Gesetz zur Änderung des Sozialgerichtsgesetzes
       107 | Gesetz zu dem Abkommen vom 18. September 1998 zwischen der Regierung der Bundesrepublik Deutschland und der Europäischen Zentralbank über den Sitz der Europäischen Zentralbank
       107 | Gesetz über Zuständigkeiten in der Luftverkehrsverwaltung
       107 | Gesetz zur Überleitung der Beteiligung des ehemaligen Landes Preußen am Grundkapital der Deutschen Pfandbriefanstalt auf den Bund
       106 | Gesetz zur Änderung des Bundeskleingartengesetzes
       105 | Gesetz über den Deutschen Sparkassen- und Giroverband
       105 | Gesetz zu dem Abkommen vom 6. November 1964 zwischen der Bundesrepublik Deutschland und der Portugiesischen Republik über Soziale Sicherheit
       105 | Gesetz zu dem Vertrag vom 31. Mai 1988 zwischen der Bundesrepublik Deutschland und der Republik Österreich über Amts- und Rechtshilfe in Verwaltungssachen
       104 | Gesetz zur Änderung des Hauptfeststellungszeitraums für die wirtschaftlichen Einheiten des Betriebsvermögens sowie des Hauptveranlagungszeitraums für die Vermögensteuer
       104 | Viertes Gesetz zur Änderung des Wasserhaushaltsgesetzes
       104 | Zweites Gesetz zur Änderung des Bundeszentralregistergesetzes
       104 | Gesetz über Entschädigungen für Opfer des Nationalsozialismus im Beitrittsgebiet
       103 | Gesetz zu dem Zusatzabkommen vom 12. Februar 1995 zum Abkommen vom 17. Dezember 1973 zwischen der Bundesrepublik Deutschland und dem Staat Israel über Soziale Sicherheit
       103 | Erstes Rechtsbereinigungsgesetz
       103 | Drittes Gesetz zur Änderung des Wasserhaushaltsgesetzes
       102 | Gesetz zur Aussetzung der Vorschriften über die repräsentative Wahlstatistik für die Wahl zum 14. Deutschen Bundestag
       102 | Gesetz über den Schutz des zur Anfertigung von Schuldurkunden des Reichs und der Länder verwendeten Papiers gegen unbefugte Nachahmung
       101 | Viertes Gesetz zur Änderung der Bundesärzteordnung
       101 | Gesetz zur Änderung des Gesetzes über Rechte an eingetragenen Schiffen und Schiffsbauwerken, der Schiffsregisterordnung und des Gesetzes über die Zwangsversteigerung und die Zwangsverwaltung
       101 | Fünfzehntes Strafrechtsänderungsgesetz
       101 | Gesetz zur Änderung sozialrechtlicher Vorschriften
       100 | Gesetz zur Änderung des Reichsknappschaftsgesetzes
       100 | Achtes Strafrechtsänderungsgesetz
       100 | Gesetz zu dem Abkommen vom 25. April 1973 zwischen der Bundesrepublik Deutschland und der Volksrepublik Polen über die Sozialversicherung von Arbeitnehmern, die in das Gebiet des anderen Staates vorübergehend entsandt werden
       100 | Gesetz zu dem Abkommen vom 15. März 1994 zwischen der Bundesrepublik Deutschland und der Republik Litauen über die gegenseitige Hilfeleistung bei Katastrophen oder schweren Unglücksfällen
        99 | Gesetz zu dem Übereinkommen vom 24. Oktober 1956 über das auf Unterhaltsverpflichtungen gegenüber Kindern anzuwendende Recht
        99 | Gesetz zu dem Abkommen vom 16. Dezember 1992 zwischen der Regierung der Bundesrepublik Deutschland und der Regierung der Russischen Föderation über die gegenseitige Hilfeleistung bei Katastrophen oder schweren Unglücksfällen
        99 | Sechstes Gesetz zur Änderung des Parteiengesetzes und anderer Gesetze
        98 | Gesetz zur Neuregelung des Rechts der elterlichen Sorge
        98 | Gesetz zur Erleichterung der Verwaltungsreform in den Ländern
        98 | Neuntes Gesetz über die Anpassung der Leistungen des Bundesversorgungsgesetzes
        98 | Gesetz zu dem Übereinkommen vom 13. Januar 1993 über das Verbot der Entwicklung, Herstellung, Lagerung und des Einsatzes chemischer Waffen und über die Vernichtung solcher Waffen
        97 | Gesetz zur Änderung der Verordnung über die steuerliche Begünstigung von Wasserkraftwerken
        97 | Gesetz zur Änderung von Kostenvorschriften des Atomgesetzes
        96 | Gesetz zu dem Internationalen Kakao-Übereinkommen von 1993
        96 | Gesetz zur Änderung des Gesetzes über die Landwirtschaftliche Rentenbank
        96 | Gesetz zur Weiterentwicklung des Kassenarztrechts
        96 | Gesetz zur Neuordnung des Rechts der Kriegsdienstverweigerung und des Zivildienstes
        96 | Zehntes Gesetz über die Anpassung der Leistungen des Bundesversorgungsgesetzes
        95 | Gesetz über die Errichtung von Testamenten und Erbverträgen
        95 | Gesetz zur Verlängerung der Schutzfristen im Urheberrecht
        95 | Gesetz zu dem Abkommen vom 16. März 1962 zur Ergänzung des Abkommens vom 26. August 1952 zwischen der Bundesrepublik Deutschland und der Schweizerischen Eidgenossenschaft zum deutschen Lastenausgleich
        94 | Gesetz zu dem Übereinkommen vom 1. März 1991 über die Markierung von Plastiksprengstoffen zum Zweck des Aufspürens
        94 | Verordnung über landschaftliche Kreditanstalten
        94 | Neuntes Strafrechtsänderungsgesetz
        94 | Gesetz zu dem Vertrag vom 19. Juni 1997 zwischen der Bundesrepublik Deutschland und der Tschechischen Republik über den Eisenbahnverkehr über die gemeinsame Staatsgrenze und über den erleichterten Eisenbahndurchgangsverkehr
        93 | Gesetz über den Verkauf von bundeseigenem Gelände in München zur Errichtung frei finanzierter Wohnungen, die während der Olympischen Spiele 1972 als Olympisches Dorf der Männer benutzt werden sollen
        93 | Sechstes Gesetz zur Änderung des Wasserhaushaltsgesetzes (WHG)
        92 | Dreizehntes Gesetz zur Änderung des Bundeswahlgesetzes
        91 | Gesetz zur Änderung beamtenversorgungsrechtlicher Vorschriften
        91 | Gesetz über die Ergänzung von Vorschriften des Umstellungsrechts
        91 | Gesetz zur vereinfachten Abänderung von Unterhaltsrenten
        90 | Gesetz über die Aufhebung von Vorschriften auf dem Gebiet des Arbeitsschutzes
        89 | Gesetz über die Berufe des Psychologischen Psychotherapeuten und des Kinder- und Jugendlichenpsychotherapeuten, zur Änderung des Fünften Buches Sozialgesetzbuch und anderer Gesetze
        89 | Gesetz zu dem Protokoll von 1973 über Maßnahmen auf Hoher See bei Fällen von Verschmutzung durch andere Stoffe als Öl
        89 | Zweites Gesetz zur Änderung des Deutschen Richtergesetzes
        89 | Viertes Gesetz zur Änderung des Güterkraftverkehrsgesetzes
        89 | Drittes Gesetz zur Reform des Strafrechts
        88 | Sechstes Gesetz zur Änderung des Personenbeförderungsgesetzes
        88 | Gesetz zu dem Zusatzabkommen vom 27. August 2002 zum Abkommen vom 14. November 1985 zwischen der Bundesrepublik Deutschland und Kanada über Soziale Sicherheit
        88 | Gesetz über die Deutsche Landesrentenbank
        87 | Gesetz zu dem Vertrag vom 24. September 1996 über das umfassende Verbot von Nuklearversuchen
        87 | Gesetz zu den Änderungen des Übereinkommens vom 24. Mai 1983 zur Gründung einer europäischen Organisation für die Nutzung von meteorologischen Satelliten ("EUMETSAT")
        86 | Gesetz zur Änderung des Gesetzes über die Entschädigung der Mitglieder des Bundestages
        86 | Gesetz zu dem Übereinkommen vom 14. Dezember 1957 über Rüstungskontrollmaßnahmen der Westeuropäischen Union
        84 | Gesetz über Ermächtigungen zum Erlaß von Rechtsverordnungen
        84 | Gesetz zur Bekämpfung des internationalen Terrorismus
        84 | Drittes Gesetz zur Änderung der Wirtschaftsprüferordnung
        84 | Gesetz zur Förderung eines gleitenden Übergangs in den Ruhestand
        84 | Gesetz zu der Vereinbarung vom 19. Dezember 1995 zur Durchführung des Abkommens vom 8. Dezember 1990 zwischen der Bundesrepublik Deutschland und der Republik Polen über Soziale Sicherheit
        83 | Gesetz zur Aufhebung von Sterilisationsentscheidungen der ehemaligen Erbgesundheitsgerichte (Artikel 2 des Gesetzes zur Aufhebung nationalsozialistischer Unrechtsurteile in der Strafrechtspflege und von Sterilisationsentscheidungen der ehemaligen Erbgesundheitsgerichte)
        83 | Gesetz zur Beschleunigung verwaltungsgerichtlicher und finanzgerichtlicher Verfahren
        82 | Gesetz zur Änderung steuerrechtlicher Vorschriften und zur Errichtung eines Fonds "Aufbauhilfe"
        82 | Erstes Gesetz zur Bereinigung des Verwaltungsverfahrensrechts
        82 | Gesetz zur Änderung des Gesetzes über die Erhaltung der Gräber der Opfer von Krieg und Gewaltherrschaft (Gräbergesetz)
        82 | Gesetz über die berechnungsrechtliche Behandlung von Investitionszulagen im preisgebundenen Wohnungsbau
        82 | Gesetz zu dem Abkommen vom 28. Mai 1969 zwischen der Bundesrepublik Deutschland und der Republik Türkei zur Änderung des Abkommens vom 30. April 1964 über Soziale Sicherheit
        81 | Gesetz zur Verbesserung der ambulanten und teilstationären Versorgung psychisch Kranker
        81 | Gesetz zur Vereinfachung der Planungsverfahren für Verkehrswege
        80 | Gesetz über Rechtsverordnungen im Bereich der Gerichtsbarkeit
        80 | Gesetz zur Begrenzung der Arzneimittelausgaben der gesetzlichen Krankenversicherung
        79 | Gesetz über eine vorübergehende Erweiterung der Geschäfte der Hypotheken- und Schiffspfandbriefbanken
        79 | Gesetz über die Verlängerung der in § 3 des Gesetzes über die drei Abkommen zwischen der Bundesrepublik Deutschland und der Schweizerischen Eidgenossenschaft über die deutschen Vermögenswerte in der Schweiz, über die Regelung der Forderungen der Schweizerischen Eidgenossenschaft gegen das ehemalige Deutsche Reich und zum deutschen Lastenausgleich enthaltenen Fristen
        79 | Gesetz zu dem Abkommen vom 12. Oktober 1968 zwischen der Bundesrepublik Deutschland und der Sozialistischen Föderativen Republik Jugoslawien über Soziale Sicherheit
        79 | Gesetz zu dem Übereinkommen Nr. 121 der Internationalen Arbeitsorganisation vom 8. Juli 1964 über Leistungen bei Arbeitsunfällen und Berufskrankheiten
        79 | Drittes Gesetz zur Änderung mietrechtlicher und mietpreisrechtlicher Vorschriften im Land Berlin
        79 | Ausführungsgesetz zu dem internationalen Übereinkommen zur Bekämpfung des Mädchenhandels vom 4. Mai 1910
        78 | Zweites Gesetz zur Änderung der Finanzgerichtsordnung und anderer Gesetze
        78 | Gesetz zu dem Abkommen vom 4. Oktober 1995 zwischen der Bundesrepublik Deutschland und der Republik Österreich über Soziale Sicherheit
        77 | Gesetz zur Änderung von Vorschriften des Handelsgesetzbuchs über das Seefrachtrecht
        77 | Gesetz über die Militärseelsorge
        76 | Gesetz zur Änderung des Beamtenversorgungsgesetzes und sonstiger dienst- und versorgungsrechtlicher Vorschriften
        76 | Gesetz zur Änderung des Gesetzes betreffend die Erwerbs- und Wirtschaftsgenossenschaften
        75 | Gesetz zur abschließenden Erfüllung der verbliebenen Aufgaben der Treuhandanstalt
        75 | Gesetz zur Änderung von Vorschriften über parlamentarische Gremien
        75 | Gesetz über die Eintragung von Zinssenkungen im Grundbuch
        74 | Gesetz zu dem Übereinkommen vom 28. Januar 1981 zum Schutz des Menschen bei der automatischen Verarbeitung personenbezogener Daten
        73 | Sechzehntes Strafrechtsänderungsgesetz
        72 | Gesetz zu dem Vertrag vom 27. Januar 2003 zwischen der Bundesrepublik Deutschland und dem Zentralrat der Juden in Deutschland - Körperschaft des öffentlichen Rechts -
        72 | Gesetz zur Neuregelung des Asylverfahrens
        72 | Gesetz zur Beseitigung von Hemmnissen bei der Privatisierung von Unternehmen und zur Förderung von Investitionen
        71 | Gesetz zur Änderung des Gesetzes zum NATO-Truppenstatut und anderer Gesetze
        71 | Gesetz betreffend den Schutz des zur Anfertigung von Reichsbanknoten verwendeten Papiers gegen unbefugte Nachahmung
        71 | Gesetz zur stärkeren Berücksichtigung der Schadstoffemissionen bei der Besteuerung von Personenkraftwagen
        71 | Fünftes Gesetz zur Änderung des Bundessozialhilfegesetzes
        70 | Gesetz zur Aufhebung des Fischwirtschaftsgesetzes und der Fischwirtschaftsverordnung
        70 | Gesetz zu dem Abkommen vom 11. September 1970 zwischen der Bundesrepublik Deutschland und den Vereinigten Staaten von Amerika über die Rentenversicherung gewisser Arbeitnehmer der Landstreitkräfte der Vereinigten Staaten von Amerika
        68 | Gesetz zur Änderung der Finanzgerichtsordnung und anderer Gesetze
        68 | Gesetz zur Verlängerung der Regelung über die Anmietung von Kraftfahrzeugen im Werkverkehr nach dem Einigungsvertrag
        68 | Gesetz, betreffend die Beglaubigung öffentlicher Urkunden
        68 | Gesetz zur Neuordnung des Bundesdisziplinarrechts
        68 | Gesetz zu dem Übereinkommen vom 9. September 1996 über die Sammlung, Abgabe und Annahme von Abfällen in der Rhein- und Binnenschifffahrt
        67 | Gesetz zur Neuregelung der geringfügigen Beschäftigungsverhältnisse
        66 | Gesetz zur Änderung und Ergänzung des Personenstandsgesetzes
        66 | Gesetz zur Änderung von Vorschriften der Lehrerbesoldung
        65 | Siebentes Gesetz zur Änderung des Soldatengesetzes
        64 | Gesetz zur Sicherung der Neutralität der Bundesanstalt für Arbeit bei Arbeitskämpfen
        64 | Zweiter Nachtrag zu dem Gesetz über den Staatsvertrag betreffend den Übergang der Wasserstraßen von den Ländern auf das Reich (Anhang zum Gesetz über die vermögensrechtlichen Verhältnisse der Bundeswasserstraßen)
        64 | Gesetz über die Neuordnung zentraler Einrichtungen des Gesundheitswesens
        64 | Viertes Gesetz zur Abänderung und Ergänzung des Hypothekenbankgesetzes
        64 | Begleitgesetz zum Telekommunikationsgesetz
        64 | Gesetz zur Verlängerung von Auslaufzeiten in der Montan-Mitbestimmung
        64 | Zweites Rechtsbereinigungsgesetz
        63 | Gesetz zur Änderung des Gesetzes über die Errichtung einer Stiftung "Hilfswerk für behinderte Kinder"
        62 | Gesetz zur Änderung des Bundesjagdgesetzes
        62 | Drittes Gesetz zur Ergänzung des Gesetzes zur Ausführung des Abkommens vom 27. Februar 1953 über deutsche Auslandsschulden
        62 | Gesetz zur Aussetzung der Brennrechtsveranlagung 1992/93
        61 | Gesetz zur Neuregelung der Vorschriften über den Bundesgrenzschutz
        61 | Zweites Gesetz zur Änderung des Diätengesetzes 1968
        61 | Gesetz über die Mindestanforderungen an Unterkünfte für Arbeitnehmer
        60 | Gesetz betreffend das Übereinkommen der Internationalen Arbeitsorganisation vom 28. Juni 1951 (Nr. 99) über die Verfahren zur Festsetzung von Mindestlöhnen in der Landwirtschaft
        59 | Zweites Gesetz zur Änderung des Gesetzes über die Landwirtschaftliche Rentenbank
        59 | Gesetz zur Regelung der gewerbsmäßigen Arbeitnehmerüberlassung (Arbeitnehmerüberlassungsgesetz - AÜG) und zur Änderung anderer Gesetze
        59 | Gesetz zur Änderung und Ergänzung des Seemannsgesetzes
        58 | Gesetz zu dem Abkommen vom 28. April 1997 zwischen der Bundesrepublik Deutschland und der Republik Finnland über Soziale Sicherheit
        57 | Gesetz über die Neubezeichnung von Blättern für öffentliche Bekanntmachungen
        57 | Gesetz zur Verlängerung des Gesetzes zur Sicherung der Düngemittel- und Saatgutversorgung
        57 | Fünftes Gesetz zur Änderung des Gesetzes über das Bundesverfassungsgericht
        57 | Gesetz über die Auflösung des Bundesverbandes für den Selbstschutz
        56 | Gesetz zur Änderung verwaltungsverfahrensrechtlicher Vorschriften
        55 | Gesetz über das Washingtoner Übereinkommen betreffend die Beschäftigung der Frauen vor und nach der Niederkunft
        55 | Gesetz über die Regelung der Landeszugehörigkeit des Verwaltungsbezirks Oldenburg und des Landkreises Schaumburg-Lippe nach Artikel 29 Abs. 3 Satz 2 des Grundgesetzes
        54 | Gesetz zur Bestimmung der Beitragssätze in der gesetzlichen Rentenversicherung und der Beitragszahlung des Bundes für Kindererziehungszeiten für das Jahr 2003
        54 | Gesetz zur Bestimmung der Beitragssätze in der gesetzlichen Rentenversicherung und der Beitragszahlung des Bundes für Kindererziehungszeiten für das Jahr 2004
        53 | Neunzehntes Gesetz zur Änderung des Bundesausbildungsförderungsgesetzes
        52 | Gesetz zur Änderung des Genossenschaftsgesetzes
        51 | Gesetz betreffend das Internationale Übereinkommen über die Heimschaffung der Schiffsleute
        49 | Gesetz zur Änderung des Patentgebührengesetzes und anderer Gesetze
        49 | Gesetz zur Aufhebung des Gesetzes über den Abbau von Salzen im Grenzgebiet an der Werra
        48 | Gesetz zur Verlagerung des Sitzes des Bundesverwaltungsgerichts von Berlin nach Leipzig
        48 | Gesetz über die Errichtung eines Patentamts im Vereinigten Wirtschaftsgebiet
        48 | Gesetz zu dem Abkommen vom 29. Mai 1958 zwischen der Bundesrepublik Deutschland und dem Königreich Dänemark über die gemeinsame Fischerei in der Flensburger Innenförde
        47 | Gesetz über die Änderung des § 29 des Grundsteuergesetzes
        47 | Gesetz zur Änderung von Vorschriften über die Prozeßkostenhilfe
        47 | Gesetz über das Abkommen vom 5. Mai 1953 zwischen der Bundesrepublik Deutschland und der Italienischen Republik über Sozialversicherung nebst Schlußprotokoll und Zusatzvereinbarung
        46 | Zwölftes Gesetz zur Änderung des Soldatengesetzes
        45 | Fünftes Gesetz zur Änderung des Gesetzes zur Förderung des Bergarbeiterwohnungsbaues im Kohlenbergbau
        45 | Zweites Gesetz über Bergmannssiedlungen
        45 | Gesetz über den Güterfernverkehr mit Kraftfahrzeugen
        44 | Fünftes Gesetz über die Anpassung der Leistungen des Bundesversorgungsgesetzes
        43 | Gesetz zur Änderung besoldungsrechtlicher Vorschriften
        42 | Gesetz zur Änderung der Beitragssätze in der gesetzlichen Rentenversicherung und bei der Bundesanstalt für Arbeit
        41 | Gesetz über das Gerichtswesen in Berlin
        41 | Gesetz zur Neuordnung des Wehrdisziplinarrechts
        40 | Gesetz über Postkleiderkassen
        38 | Gesetz zur Neuordnung der Versorgungsabschläge
        36 | Gesetz betreffend das Internationale Übereinkommen über die Einrichtung von Verfahren zur Festsetzung von Mindestlöhnen
        33 | Gesetz über die am 6. November 1925 im Haag revidierte Pariser Verbandsübereinkunft zum Schutze des gewerblichen Eigentums
        33 | Gesetz zur Stabilisierung der Krankenhausausgaben 1996
        32 | Gesetz über die Aufnahme eines Kredits durch den Bund im Rahmen der von den Vereinigten Staaten gewährten Wirtschaftshilfe
        31 | Gesetz über die Internationalen Übereinkommen betreffend die Gleichbehandlung einheimischer und ausländischer Arbeitnehmer bei Entschädigung aus Anlaß von Betriebsunfällen sowie die Entschädigung aus Anlaß von Berufskrankheiten
        29 | Gesetz betreffend das Internationale Übereinkommen über die Gewährung einer Entschädigung für Arbeitslosigkeit infolge von Schiffbruch
        29 | Gesetz zu dem Internationalen Übereinkommen vom 13. Dezember 1960 über Zusammenarbeit zur Sicherung der Luftfahrt "EUROCONTROL"
        28 | Gesetz zu dem Abkommen über die Gründung eines Welthilfsverbandes
        28 | Gesetz zur Änderung des Reichs- und Staatsangehörigkeitsgesetzes
        28 | Gesetz über die Umwelthaftung
        27 | Gesetz zur Änderung des Gesetzes gegen den unlauteren Wettbewerb
        25 | Gesetz betreffend das Internationale Übereinkommen über den Heuervertrag der Schiffsleute
        24 | Gesetz über die Internationalen Übereinkommen betreffend die Krankenversicherung der Arbeitnehmer in Gewerbe und Handel und der Hausgehilfen sowie die Krankenversicherung der Arbeitnehmer in der Landwirtschaft
        23 | Gesetz zur Beschleunigung von Genehmigungsverfahren
        20 | Achtes Gesetz zur Änderung des Fünften Buches Sozialgesetzbuch
        19 | Gesetz über die Anwendung von Vorschriften des Gesetzes betreffend die gemeinsamen Rechte der Besitzer von Schuldverschreibungen
         6 | Viertes Gesetz zur Änderung des Gesetzes zur Förderung des Bergarbeiterwohnungsbaues im Kohlenbergbau
         0 | Gesetz zu dem Protokoll von Kyoto vom 11. Dezember 1997 zum Rahmenübereinkommen der Vereinten Nationen über Klimaänderungen (Kyoto-Protokoll)
         0 | Gesetz über die Umwandlung kurzfristiger Inlandsschulden der Gemeinden
         0 | Nachtrag zu dem Gesetz über den Staatsvertrag betreffend den Übergang der Wasserstraßen von den Ländern auf das Reich (Anhang zum Gesetz über die vermögensrechtlichen Verhältnisse der Bundeswasserstraßen)
         0 | Gesetz zu dem Vertrag vom 14. November 1990 zwischen der Bundesrepublik Deutschland und der Republik Polen über die Bestätigung der zwischen ihnen bestehenden Grenze
         0 | Gesetz zu dem Abkommen vom 20. Oktober 1982 zwischen der Bundesrepublik Deutschland und der Schweizerischen Eidgenossenschaft über Arbeitslosenversicherung
         0 | Gesetz zu dem Wiener Übereinkommen vom 23. Mai 1969 über das Recht der Verträge
         0 | Gesetz, betreffend den Vertrag vom 23. Oktober 1954 über den Aufenthalt ausländischer Streitkräfte in der Bundesrepublik Deutschland
         0 | Gesetz über den Beitritt von Staaten zu den Haager Abkommen über internationales Privatrecht
